SET,MU,MU_TEST2TRAIN,R,R_TEST2TRAIN,THRESHOLD,AV_TP,SD_TP,SE_TP,NR_TP,AV_FN,SD_FN,SE_FN,NR_FN,AV_FP,SD_FP,SE_FP,NR_FP,AV_TN,SD_TN,SE_TN,NR_TN,AV_TRUE_POS,SD_TRUE_POS,SE_TRUE_POS,NR_TRUE_POS,AV_TRUE_NEG,SD_TRUE_NEG,SE_TRUE_NEG,NR_TRUE_NEG,AV_LABL_POS,SD_LABL_POS,SE_LABL_POS,NR_LABL_POS,AV_LABL_NEG,SD_LABL_NEG,SE_LABL_NEG,NR_LABL_NEG,AV_ALL,SD_ALL,SE_ALL,NR_ALL,AV_ACCURACY,SD_ACCURACY,SE_ACCURACY,NR_ACCURACY,AV_TNR,SD_TNR,SE_TNR,NR_TNR,AV_FPR,SD_FPR,SE_FPR,NR_FPR,AV_FNR,SD_FNR,SE_FNR,NR_FNR,AV_RECALL,SD_RECALL,SE_RECALL,NR_RECALL,AV_PRECISION,SD_PRECISION,SE_PRECISION,NR_PRECISION,AV_FDR,SD_FDR,SE_FDR,NR_FDR,AV_FOR,SD_FOR,SE_FOR,NR_FOR
1,1.25e-10,0.01,1e-10,0.01,0.1,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.15,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.2,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.25,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.3,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.35,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.4,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.45,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.5,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
1,1.25e-10,0.01,1e-10,0.01,0.55,0.0,0.0,0.0,100,10672.2,244.22170255732803,24.4221702557328,100,0.0,0.0,0.0,100,435421.8,804.2001243471677,80.42001243471677,100,10672.2,244.22170255732803,24.4221702557328,100,435421.8,804.2001243471677,80.42001243471677,100,0.0,0.0,0.0,100,446094.0,810.0395052094682,81.00395052094682,100,446094.0,810.0395052094682,81.00395052094682,100,0.9760764376371861,0.0005420130152827565,5.4201301528275654e-05,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,1.0,0.0,0.0,100,0.0,0.0,0.0,100,NA,NA,NA,0,NA,NA,NA,0,0.023923562362813833,0.0005420130152827627,5.420130152827627e-05,100
